step,epoch,lr,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
88,88,0.00020561343579004784,0.0052136318539152855,0.9983,0.04401960749924183,0.99,1744269120.519569,2025/04/10 16:12:00,1100.5484237670898,18.3m
89,89,0.00017555878527937175,0.00672588084936142,0.9975,0.0429226608723402,0.99,1744269132.9489758,2025/04/10 16:12:12,1112.9778306484222,18.5m
90,90,0.00014779807761443648,0.005892445432581007,0.9974,0.038889651418518044,0.9915,1744269145.3751104,2025/04/10 16:12:25,1125.4039652347565,18.8m
91,91,0.00012235870926211625,0.0055667865517316385,0.998,0.040294545439537616,0.992,1744269157.9024734,2025/04/10 16:12:37,1137.9313282966614,19.0m
92,92,0.00009926578580764268,0.00497995433434844,0.9981,0.04442718935571611,0.99,1744269170.2434928,2025/04/10 16:12:50,1150.272347688675,19.2m
93,93,0.00007854209717842264,0.00498037851540139,0.9983,0.04157035622932017,0.9925,1744269182.6250207,2025/04/10 16:13:02,1162.6538755893707,19.4m
94,94,0.00006020809515313173,0.004550675536179915,0.9986,0.0418706195937848,0.992,1744269194.9776287,2025/04/10 16:13:14,1175.00648355484,19.6m
95,95,0.00004428187317827823,0.005092153692943975,0.9979,0.0426261668652296,0.992,1744269207.3538883,2025/04/10 16:13:27,1187.3827431201935,19.8m
96,96,0.00003077914851215587,0.006338580214418471,0.9979,0.04425773479230702,0.99,1744269219.741796,2025/04/10 16:13:39,1199.7706508636475,20.0m
97,97,0.0000197132467138056,0.004224876008089632,0.9984,0.04193089829268865,0.9925,1744269232.1782467,2025/04/10 16:13:52,1212.2071015834808,20.2m
98,98,0.000011095088492300017,0.004263292116217781,0.9981,0.04226630605381797,0.9925,1744269244.5746434,2025/04/10 16:14:04,1224.6034982204437,20.4m
99,99,4.933178929321106e-6,0.0055762387941194905,0.998,0.042750608652830126,0.9915,1744269256.8873522,2025/04/10 16:14:16,1236.916207075119,20.6m
100,100,1.2335990856710008e-6,0.004745134138595313,0.9981,0.043758908620104196,0.991,1744269269.2406716,2025/04/10 16:14:29,1249.2695264816284,20.8m
